name	mbid
Shaggy	fc63d806-ca89-4ea3-a404-ee6de695743f
Shania Twain	faabb55d-3c9e-4c23-8779-732ac2ee2c0d
Sigrid	de84d945-a1bd-4716-9f0e-fa7b870e6a2d
Siskiyou	7b04c594-311c-4903-b9ec-5890a57f17a4
SOHN	8014af67-1b04-4123-8b02-6ca85840c514
Sono	18350267-3678-4269-b817-920e4f41e096
Sophie Hutchings	67ebbe4e-8c36-48ac-9660-e184136ecc50
Stan SB	db608905-d0de-4095-9dd8-bcae973e6894
Stargate	ea271a17-a9a4-41b4-a105-632433430978
Status Quo	96fa50c4-af9d-419c-9593-bdda8687e14c
Stefanie Werger	e708f195-dcff-4d0d-9741-5bd0c24fcdc9
Steve Miller Band	e57f0cac-4f56-473c-8d7e-d93f753fd586
Stevie Wonder	c1aa2ec9-53e7-4d90-8d36-bac75832e986
Stylo G	ae41ccb4-48cb-463a-841e-d9eb0a265d94
Sub Zero	79728d30-4b7e-4ec2-9395-d87300e84128
Sublime	c460aa10-87a0-4971-b742-7de0e3c7c2ca
Tale of Us	88c36329-925d-42df-981e-d5df479da2aa
Tam Cooper	a061b3d3-b4fe-4df2-bdda-362ae732eb8a
Teriyaki Boyz	afb3102c-b7e6-4140-b825-7f84ea97f73f
The Animals	7d2f5f88-5da7-4d94-8be4-b4fadaf5b3f6
The Beach Boys	ebfc1398-8d96-47e3-82c3-f782abcdb13d
The Byrds	2819834e-4e08-47b0-a2c4-b7672318e8f0
Eastcolors	1eb07cfc-d0b0-4b28-8362-10a645b95093
Eating Snow	e310d4ec-04f7-4d95-a6c6-1b4daa1c2034
Echosmith	53317371-09a4-4bf4-a832-22a9c6704be2
Ed Solo	e3b11767-c2e7-406e-947f-1303fce00db5
edIT	9b4aec00-c369-4707-807b-9229955ea3db
Edwin McCain	f362fdd1-3ddd-4c4e-9629-ef170b08d093
eleven.five	e1097d01-1bbd-46c6-8756-d3cf72db86ab
Eliades Ochoa	1de8629a-9dd3-444c-86a0-9f9bd8c02218
Ella Eyre	f7602b15-66cc-4b31-b3b6-ed3c0a29eea3
Ellen Allien & Apparat	2ff63f00-0954-4b14-9007-e19b822fc8b2
Elohim	d8dc4a82-9bdb-491d-96c4-129a53639a99
Elvin Bishop	b1768592-294e-4e15-a892-eb8837dec3e4
Empire of the Sun	ac7e838c-3d95-47c2-92a9-81767ad7c217
Engine-EarZ Experiment	dc9bb3e0-716b-4378-a530-53650f642eb6
Ennio Morricone	a16e47f5-aa54-47fe-87e4-bb8af91a9fdd
Enya	4967c0a1-b9f3-465e-8440-4598fd9fc33c
Eric Gales	c1611f46-7e50-48c1-a8c8-28aa8a63a818
Etherwood	82812eab-f342-4bec-8a3d-756de2e00ca6
Fabolous	d2299099-e617-46dd-b013-ba0b4c72bc63
Faith No More	b15ebd71-a252-417d-9e1c-3e6863da68f8
Falcons	e3b4f527-de80-4604-af5b-e77df3900f3a
Faruk Sabanci	cb72a8e8-425c-48ef-adb5-7b95e8c062f4
Fats Navarro	d2a135f4-bb6b-4fb6-a09b-115e740b7fe0
Faul & Wad Ad	d28c64d9-35be-4d4e-8e27-fd33566a57a2
Felice	8d50bb3b-4b3b-4c39-805b-5e2a531d58f6
Felix Cartal	7208d210-66d4-413a-90c3-167b2e6bd4fb
Fergie	4f9675d2-f6d5-486c-9b26-33dcca998500
Ferreck Dawn	4e994b6a-5f49-4a38-a974-31e46d82b148
Ferris	28627db3-0dd9-4b44-854f-a804419aa6f7
Fever Ray	f7df5df4-4dfa-459d-972b-1ba051c15ddc
Firebeatz	df42d20e-18b9-41a6-a0fb-264cb4aa257b
Fiva	c315e92d-007d-4b06-9a04-832e7f9eee87
FlashMob	41a791c8-2f3f-494a-a663-bcec32d3ee3e
Flatmate	86cb70c9-7c15-4ad1-9e9c-586184b84791
Fleetwood Mac	bd13909f-1c29-4c27-a874-d4aaf27c5b1a
Fletcher	74e48a87-97e8-47a0-bec9-bcb105c45d4f
Flipsyde	2c8fb177-1465-4586-9e23-6020b9606199
Florence + the Machine	5fee3020-513b-48c2-b1f7-4681b01db0c6
Flyleaf	9011971a-df29-4b57-8889-2e5e9a645cbe
Fool's Garden	80c38d4f-7419-4ae9-8d4c-cf899df0d5cc
foor	aa128c20-9b5f-491a-b151-12dc351a9fd1
Foster the People	e0e1a584-dd0a-4bd1-88d1-c4c62895039d
Four Year Strong	c0a138e2-cef7-471b-8fbb-524e1076256a
Foy Vance	6ef3b33e-848c-4773-867b-5fb1397ef408
Fractures	8a1d212a-84fc-41f3-80fb-bdc75a8beeaf
Frances	1edb0c81-d487-4002-8519-07cc01c0fc96
Francis Harris	0a20c17c-56f9-4a9f-bdb6-038a7b3333e8
Frank Popp Ensemble	6c1b8e36-0dfc-4741-9062-17b9e077f929
Frank Turner	aca5718f-4f49-4439-b8f6-209db3f11757
Frankie	cb857fc2-3a70-42c8-ac45-9da34b96aef2
Frankie Cosmos	e49dd402-2297-4192-a359-48b233d39cd4
Freestylers	60dd8303-5ee8-4c99-a19c-009e07c17aeb
French Affair	23c28813-14ff-48fd-9c83-ffab31f26273
Frida Sundemo	5d7f1f89-4df0-4754-b739-55ab8b9c8b31
Friend Within	8cfa9262-a151-48ac-b73f-c2bdc2d43ba6
Frits Wentink	3bf2e0f6-1937-4cf5-b3e3-7ffe6cb030ea
Front Porch Step	899d8e40-2aae-464a-8d45-910f1d199db4
Frédéric Botton	05778680-4c44-4695-ad0f-a275cbe980fc
Futuristic	a9c09984-73c2-41fb-bef9-a2c26106dd61
Gallant	ddce4f6c-d2a5-4e59-845c-a50f60c8ec05
GAPS	a6cec1a5-e4f2-48a3-9aaf-797036eca5c9
General Levy	c0515731-5824-458f-a38c-fc463c9157fa
Generationals	11f34bce-298f-4527-a5eb-28cafee71c4f
Gente de Zona	35e53195-f6e1-40bc-a3ae-62b1900ee199
George Fitzgerald	ffa167fb-530d-4a46-8874-8511e39a9f57
George Harrison	42a8f507-8412-4611-854f-926571049fa0
Gesaffelstein	cc3e537d-ff34-423f-8cd6-635a80f4dba7
Getter & Datsik	8a05c7bb-7413-4ae0-a30e-b75e17c9e6da
Ghost Loft	8fbc6960-70af-409a-b921-a93a28bd9790
Ghosts	e71e7f95-0877-4cec-888d-348425d39de8
Gigi D'Agostino	57c1e5ea-e08f-413a-bcb1-f4e4b675bead
Glass Animals	20395131-fbde-43ce-b141-b700cfdae99c
God Help the Girl	682bf36e-35e2-4e50-af40-d2ace4e34b6e
Godsmack	ac2d1c91-3667-46aa-9fe7-170ca7fce9e2
Gojira	1c5efd53-d6b6-4d63-9d22-a15025cf5f07
Goldfish	ea4c6d34-342d-4df1-a967-9925618ffdfe
Goldmund	6ea0f255-4920-44e4-89ff-586c27b219a0
Goodluck	568472bc-330e-48a4-a061-5bbfe1d862b3
Gossling	d3c2f298-0e92-464b-bdeb-d74e97e2518a
Gov't Mule	f8796712-19fd-49ca-9cc7-99c30215b3cd
Gravez	da9a1915-3991-4e12-bb3b-28c4188458a8
Great Good Fine OK	ff9f99d4-aa42-4c82-a7c7-9157a3cbb5ba
Guillermo Portables	ea562209-d706-401a-8b18-0e832980aae4
Gus Backus	07bc334a-a5dc-416b-ba0e-0cd6b8e44693
Haddaway	6508cf1d-4da2-4d71-81ec-0e072338991f
Haftbefehl	5fce249a-96cd-4296-b9f2-ef60c876b0bb
Hannah Diamond	76130c0b-b177-434f-893f-46c8d819548d
Hanson	3c0a0074-4f26-4d3b-b723-a66bf6cc3753
Happy Camper	bea491f0-e424-4249-8b15-85c002689d8b
Hard-Fi	46d18823-6a15-49ee-8376-c5f7a49530a6
Harry Shotta	6da27696-7b8f-4657-9a30-ab103de817a2
Hashtag	a91b6bcf-f175-4ea2-97c8-1d184176f9c4
Hayze	8f3fb93d-9865-44ef-992d-638b554e2bfa
Hazard & D Minds	0b657f20-00c7-4567-a968-fbbd18447366
Headphone Activist	b7701051-3f8c-4849-9ae3-930381346225
Hedia	85076611-4396-464d-995c-387a9d6b13ab
Hedley	02295e8b-8a73-493f-b26c-efac82b13a15
Helvetic Nerds	baa37758-5860-4477-99c0-b354f67ce483
Henry Threadgill & Make a Move	67d6ef18-a5f3-48b0-b8ad-6562da3b5f10
Hermes House Band	6d2f839e-b871-4b6c-bbf8-da73553d203e
Herzog	4e52b9e0-45eb-4fc5-a395-38d5dc2fd335
Hi-Lo	b1970403-8cf4-4905-be3e-d265fea0ede7
Holly Throsby	6acf2c42-9000-4a80-90af-99491e3b97ed
Hook N Sling	414c5ea2-9480-49da-8e5c-5afdf7465d9d
HVOB	9645d671-aafd-44bc-8b1e-1bf9ebdb5336
Hyetal	32a3f031-8ad8-4ea1-80b3-35550371381c
I Am Legion	d88c7701-dea3-4436-acd1-2ce2ac0e0869
Ibeyi	a4e3e7ca-87d7-4d5d-8a36-72e5f043e378
Ibrahim Ferrer	a61930ae-dfe3-4574-bc5b-b0fa8d8efb62
Icarus	df137045-cb2c-42e6-aad8-d1e2124129be
Il Pagante	abb60b9d-9d5f-457c-86ed-8ae9be5173d9
Infected Mushroom	eab76c9f-ff91-4431-b6dd-3b976c598020
Inner Circle	0a5c92c7-4aa7-4324-82ab-8e8e733507cb
Irie Révoltés	6d94f501-e5a8-4ea5-8913-b3de316eea50
Isaiah	e6343f79-434d-4f0a-a82a-ae5744a606cd
Isaiah Rashad	37547347-ea75-45fa-9766-ff36b44d8147
Ivy Lab	05a8fca6-3178-4f95-ad82-d325bc6102fe
J.J. Johnson	33e50556-d4be-421b-a5d1-644bd536ec07
Jackal	cba76057-c7d0-4ab9-a104-eb2ba4a6ecca
Jackie DeShannon	194e5e92-0f2d-4d81-b5b9-c5f18d9edd59
Jacob Banks	ca4d7350-e835-4af6-9cbd-1e012e597de4
Culprate	2b55feff-a0d6-411a-a2e9-39c57f9d2fe2
Dada Life	5b3cc848-942f-4363-8e89-b63a13c3fd0e
Daft Punk	056e4f3e-d505-4dad-8ec1-d04f521cbb56
Danny Dove	6cfe49df-1d40-4cb8-be2b-670710cf53b0
Dendemann	e8533fd3-4e66-4ad5-8fe5-12a916f9c4a1
Dire Straits	614e3804-7d34-41ba-857f-811bad7c2b7a
Dirtyphonics	8b9a69ea-b60e-46c8-a1a5-93c56e7e4f35
Droplex	a73f107a-ce4d-4e3e-ac5a-e723ba1e6a49
Drumsound & Bassline Smith	849511d6-5e08-425b-bc05-f2232ed220b3
Drunken Masters	de907697-e283-4dc7-bae0-e29df7d2636d
Dub Fx	4623daa8-d17f-4e76-a39d-fd22408463f1
Ede Whiteman	6ed3df89-9e53-47bd-96c6-efda269df96f
Ellie Goulding	33ca19f4-18c8-4411-98df-ac23890ce9f5
Emeli Sandé	7cfaac66-62e5-4fcd-af1b-9d3aa8f68e8b
Fifth Harmony	e565610b-9a8f-451d-b594-ea658d76f725
Flosstradamus	8ca3f991-47c7-4506-8fa2-327e376c71b4
Foals	6a65d878-fcd0-42cf-aff9-ca1d636a8bcc
Foghat	3cc3942d-bbfc-446d-a8f4-f0e1e238ca86
Fourward	f49794bf-ee55-42a3-b21c-df269480062f
Gadiel	768ba077-c2ae-4c59-9212-5ff05c8db0f7
Ganja White Night	014abfeb-cdfe-46dc-90fb-e192473ce252
Georg Danzer	6a65cfbe-d198-4f24-aff0-e0ce1d500863
Golden Features	64bdfb5e-cbf4-4b4d-b939-1086fb4673f2
Good Charlotte	b267ca80-034e-4dc1-9ed4-ec45f1fed41d
Grabbitz	69754799-6872-4156-a88c-2f7caf5e7a6d
Hucci	ad0406fb-4627-4b3e-bd63-4a7dabb02a04
Jeremih	1c009a08-74d1-4682-bc56-8bfbe9e66b62
Joey Bada$$	9757ae7d-44b1-4d63-81ce-b463fe27b9ae
Justin Bieber	e0140a67-e4d1-4f13-8a01-364355bee46e
Kenneth	af2ad0d8-f73a-4712-8f6e-8f71686e88d6
Khalid	c6bfb05d-f570-46c8-98e1-e25441189770
Krewella	d87475fa-76a1-4e12-962c-fc9941fdda72
Lance Butters	0627994b-451f-4322-ba17-678d255d73ba
Léon	c8be21d2-7aa6-4d6c-a8df-d9e74292439c
Maceo Plex	0ab688fd-0943-41cd-a24c-78ec2baad3fd
Mad Zach	c3d44acf-9b4b-4869-8374-83eeda76b168
Miles Davis	8e51f2f4-4541-4526-8a2d-c65ecc9c0ee4
MK	fb8c18a8-e95a-4851-96e5-9a7cde0a9f82
Mungo Jerry	d99a6247-94ab-4685-87df-572ba6ef44b7
Mystikal	1cfe52d7-181a-4b3a-8041-d8bf9ccef57b
Nevada	f297b3e5-b5d8-44e8-ae56-57c957f37e08
New Boyz	8e1d63a3-2980-4d69-ba61-1024e8a6df4b
Nimo	d91d3abd-5dc4-4c40-9c9e-a0e53f5b3bdd
Nirvana	9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6
Oceans	7f2c0cb9-2419-46f7-8eb1-94b58b719c8b
Ohrbooten	9a349d91-adc0-4ada-8c26-807e95850ada
Oliver Koletzki	f4cc6a8c-d762-436b-87b1-0579bbcfd2dd
Pierce Fulton	86e205b1-93d7-45a6-a626-e0e605574236
RAF Camora	a5386648-7b2c-4e0a-8094-ac5d16b91e54
Raggabund	91b37187-fb0f-4c78-8823-83a911b4bd2a
Rainhard Fendrich	007bf6ea-117d-49aa-8981-67fc4fda19eb
Sam Paganini	f081ae3d-f05a-4124-94e7-fd801635837e
SKisM	e5fa0264-504b-4c56-bfb3-127e7bc0a276
State Of Mind	ebe93ac9-2107-4009-90e2-179480089594
Taio Cruz	ba7d2626-38ce-4859-8495-bdb5732715c4
Tha Trickaz	80a6d1ef-7035-4167-b444-709b688d8e9b
Thomas Gold	233164a1-a581-44f7-adac-cfdae2eefb66
Throttle	b9809836-7588-419d-ab9e-e1685be21b1d
Tinie Tempah	3cce3d37-d44f-46a2-b1e3-cd7247d5015c
Tom Novy	a143d507-b546-409b-be09-7f77c804b1b3
twoloud	2e9786c5-3c2b-4030-8858-08e86e2e0936
Watermät	8d61f00a-2662-4570-b1fe-074415ae6cbe
X Ambassadors	298f4089-1948-44b5-b5e8-d5381f42362f
Xero	f4fccee7-b634-45ea-8cc9-85386aab69b6
XOV	10b0d736-7f70-4333-babe-e4ff7b7b55fe
Zion & Lennox	a06afacd-7894-442e-95ba-49366b2b3e02
16 Bit Lolitas	a7fcbfe0-19dd-41fa-9689-508f4b57768d
A Day to Remember	db008806-16f6-48fc-8521-3d953709689d
Ace of Base	d4a1404d-e00c-4bac-b3ba-e3557f6468d6
Ace Ventura	0c205acd-5003-4b0d-b603-fb91b93b6eae
Aerosmith	3d2b98e5-556f-4451-a3ff-c50ea18d57cb
AKA AKA	8dba017f-309c-4eb4-adb0-6b869efb90a8
Alesso	addb00fd-733c-4223-8fdf-f78be2488acd
Andy C	ec853694-30a1-4c7e-84e6-4ca87ee3c314
Armin van Buuren	477b8c0c-c5fc-4ad2-b5b2-191f0bf2a9df
Ben Delay	8257db80-9c32-4667-b926-b854ef3729ff
Ben DJ	ab961924-5e42-43bf-a216-3968f2ceed76
Bloodhound Gang	b2dbfc09-b332-408b-a235-1850e41971c5
Blue Swede	f98a61b4-394d-4e1f-a5f3-f747b9494e5a
Bob Moses	2a047ec5-84a2-4616-ae24-bd28f66a9960
Bobby Hutcherson	edbe5d7f-9511-4dfe-847a-8fe19080caaf
Brandy	f91af86f-d761-4fdc-b709-2251bc0d20c0
Buena Vista Social Club	2a85ecff-41e9-4be1-aca6-c87054a4c334
Bungle	ee63ef60-6cd3-4950-900a-c7cbcf4de517
BØRNS	b2befbb4-c585-4b05-8efa-3deebc8e1385
Christian Löffler	a0d91c38-f5dc-487b-9b30-b67de1e7489e
Clueso	5c2717ab-3b1e-4043-8874-e88ecf391cc9
Cyndi Lauper	7bd9e20e-74b9-446a-a2ed-a223f82a36e7
Dash Berlin	ccfa0410-bd90-4fd1-ab85-8995a57e265b
Demi Lovato	faf4cefb-036c-4c88-b93a-5b03dd0a0e6b
Die Toten Hosen	c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1
Dimitri Vegas & Like Mike	c5931849-7c9d-465e-b717-29e2af974c6b
DJ Marky	20f4225f-f50e-4382-8b6e-b18448bc037d
Dolf	ea3f8912-30f4-445d-b7d8-e0a2d2fa9e65
Dr. Dre	5f6ab597-f57a-40da-be9e-adad48708203
Dubfire	e0342101-d545-469d-bf57-58a22df28b44
Duke Dumont	6060d1bb-94f8-4863-89b9-425487f2f6b2
Duke Ellington	eb34b261-d9da-4ab4-abd3-34e7690d80ef
Erb N Dub	f34b9350-3c49-4415-8ecc-575a26adf3e7
Evil Empire	ddfa259a-c8ab-43eb-b367-0fc41151bc98
Far East Movement	6bd5655c-b7fe-48ee-8925-c2d2d8798618
Fedde le Grand & DI-RECT	ffa93e03-f6c5-4d78-b0d5-07d0d6de46aa
Feint	e6e29ff5-b0e4-4985-a63f-e99d12b21728
Fountain of youth	de242777-c35e-441d-8202-ff5951ae5de7
Franz Schubert	f91e3a88-24ee-4563-8963-fab73d2765ed
Féfé	72073e47-8f83-4e08-a0ec-3ea0d5e24c95
Genesis	c5725831-2596-48f1-8f1c-ebe237362860
Gnarls Barkley	a47c3aa2-7d87-475c-a2c7-1e2047dafb09
Gorgon City	ba8aaa28-2de4-4d5c-824e-1e9d49235c55
Gridlok	e344e84e-684b-4666-9a71-acecafce82de
InsideInfo	a5c56be4-f724-40b4-a484-221e7baebf25
J. Dash	cdaa8e9b-d325-4833-a0cd-66a0b87322ef
Jefferson Airplane	39c2a93d-9afa-4a22-9bba-c087ab056e1c
Judah & the Lion	a71da6f9-655d-4029-8c1c-5dc351632734
Kaskade	29ed4a49-fb99-4a5c-8713-609cabe6f34a
Kings of Leon	6ffb8ea9-2370-44d8-b678-e9237bbd347b
Kraddy	1423f8fe-951d-4095-a69e-98cdd5de276c
Lady Gaga	650e7db6-b795-4eb5-a702-5ea2fc46c848
Leikeli47	da8a2bf4-8298-4da4-b5ff-ad5adb856037
Levi	78323789-5b52-4917-a552-63cff0e84180
Lotus	f15386df-5950-46ba-a899-ed74dfaf0a42
Makj	f8a693f1-6dcb-412b-bf70-cc8fca13f090
Marco Carola	daa683bc-1a8d-48da-be35-864526c444a6
Marilyn Manson	80cadd99-f560-41e3-babd-16292bbd248a
MISUN	69a059e3-18ad-4d1d-9ace-855d254b6ad8
Sonny Burgess	bdc377f8-5701-4dc2-9180-bb635aa4ff5c
Sophie Ellis-Bextor	c4b87e45-c07a-460f-9c58-8d15328e2964
Soul Asylum	b10db9ad-b4c3-47f3-a7a4-37864b134f65
Soundgarden	153c9281-268f-4cf3-8938-f5a4593e5df4
Sparky	ce68a101-aa53-4d66-a240-4415425ea821
Spectrasoul	11d0f9fe-3a5f-448d-85a0-f9f4e01cdfdd
Spice Girls	bf0caafc-2b20-4e07-ab85-87e14ff430ce
Spoon	d3b0f18b-71a0-4077-8d42-21243f4172b4
Sportfreunde Stiller	35581de7-591f-424f-9c64-7b22fd45605e
St. Lucia	d996eadd-029d-4478-aa4b-fc9446653548
Stacie Orrico	eda489f6-afa5-46b0-a4f5-ad42e735dcad
Stan Courtois	d4a74adb-a1b7-469c-a5dc-21e469393eac
Stand High Patrol	6d6e26a8-e747-4a99-bdc7-ea73aa6a2bd4
Starfucker	0a19e3e4-7970-4adf-8439-90bdcc9c8661
Starship	fbf445c0-11ae-4d3e-af1a-c6e2783e447c
Steel Panther	f82927e4-b905-4e3b-a82e-5184fbb68b29
Steve Earle	ec863030-7c13-45a3-a025-a69195d3a020
Steven Wilson	3a51b862-0144-40f6-aa17-6aaeefea29d9
Stimming	738f5d0d-3704-44db-823f-8ddad2dc1508
Stooki Sound	1e863f07-d65d-497f-8e96-5aa96d2be941
Sublime with Rome	079f2e2b-b3f9-4574-ac5c-add977b40762
Sunstars	d4d99fbe-43d0-4a1c-8907-a8ebdb5dd583
Sweet	dc73bb40-b697-4df9-a2ec-0555bebdba75
Syd	9a612dbc-7354-43f6-b172-461e1fa9903e
SZA	272989c8-5535-492d-a25c-9f58803e027f
T-78	6259a169-891b-4276-8337-954aa835690c
Take That	24d2505b-388c-46cc-8a64-48223ea6d78d
Takuya Kuroda	6d75cf4b-82b5-4fbe-a09a-5963af6d7576
Tal	f2787157-3ba4-4bdc-9024-e23949312012
Tal Bachman	f8364fea-e139-4e9b-9f95-2081dc7a91b6
Tammy Wynette	26fe36eb-fd75-4799-bf0f-fa502a7bcfe8
Tears for Fears	7c7f9c94-dee8-4903-892b-6cf44652e2de
Teesy	869ed7e3-700b-45fc-967c-4154fdb7efd9
Tenacious D	148ddea2-6839-4354-8e2c-5dfadf136b7f
Terravita	db3bab70-5973-4c4d-9d0b-628db32ccc78
Testament	6b335658-22c8-485d-93de-0bc29a1d0349
Thad Jones	2676ce19-1319-48af-93dd-1b6313c126ca
The 5th Dimension	4f1949ab-fefd-4bf3-9317-814084c29cc0
The Aces	cc8ee646-5015-4013-b53b-8334d14b60b9
The Allman Brothers Band	72359492-22be-4ed9-aaa0-efa434fb2b01
The Avener	529c40b4-c57f-49e2-ad5a-201eb2fb4a5b
The Band	a0ef7e1d-44ff-4039-9435-7d5fefdeecc9
The Birthday Massacre	83d8a06a-4145-444a-b4ae-49e1e986206f
The Breeders	667e856e-f3a7-42e9-8244-95422ef31321
The Cardigans	3e55d51d-687f-4a9d-af96-2fabccf802e5
The Coral	3b1c66fb-98ad-417f-b01e-49baf37f06a3
The Courteeners	1975afe1-8ad0-4ba0-a4a4-d3acd2ba9d5b
